Meeting_Date,Company,Symbol,Industry,SubIndustry,Proposal_Type_General,Proposal_Type_Specific,Title,Proponent_Type_General,Proponent Type_Specific,Proponent,Votes_For
1/30/2024,Aramark,,Real Estate,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.98
1/25/2024,"Walgreens Boots Alliance, Inc.",,Materials,Specialty Chemicals,Social Policy,Health Care,Report on Risks of Reproductive Healthcare Legislation,Social,Religious Institutions,Presbyterian Church (USA),0.08
1/25/2024,"Walgreens Boots Alliance, Inc.",,Telecommunication Services,Banks,Social Policy,Employment Rights,EEO Policy Risk Report,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
1/25/2024,"Walgreens Boots Alliance, Inc.",,Materials,Specialty Chemicals,Social Policy,Employment Rights,Set Compensation Policy that 0ptimizes Portfolio Value for Company Shareholders,Individual,Individual,John Chevedden,0.09
1/25/2024,"Walgreens Boots Alliance, Inc.",,Industrials,Media and Entertainment,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.31
1/25/2024,"Walgreens Boots Alliance, Inc.",,Materials,Media and Entertainment,Social Policy,Environmental,Discarded Cigarette Pollution,Social,Religious Institutions,Sisters of St. Francis,0.06
1/25/2024,"Walgreens Boots Alliance, Inc.",,Consumer Staples,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.86
1/25/2024,"Air Products & Chemicals, Inc.",,Consumer Discretionary,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.73
1/25/2024,Jabil Inc.,,Consumer Discretionary,"Pharmaceuticals, Biotechnology and Life Sciences",Corporate Governance,Special Meetings,Adopt a Shareholder Right to Call a Special Shareholder Meeting,Individual,Individual,John Chevedden,0.55
1/25/2024,Jabil Inc.,,Information Technology,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.98
1/24/2024,Jacobs Solutions Inc.,,Utilities,Software and Services,Voting Rules,Simple Majority Voting,Simple Majority Vote,Individual,Individual,John Chevedden,0.00
1/24/2024,Jacobs Solutions Inc.,,Telecommunication Services,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
1/23/2024,Ashl& Inc.,,Industrials,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.99
1/23/2024,"Visa, Inc.",,Materials,Food Beverage and Tobacco,Executive Compensation,Golden Parachutes,Shareholder Ratification of Excessive Termination Pay,Individual,Individual,John Chevedden,0.07
1/23/2024,"Visa, Inc.",,Telecommunication Services,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
1/18/2024,Costco Wholesale Corp,,Industrials,Retailing,Social Policy,Environmental,Fiduciary Carbon-Emission Relevance Report,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.02
1/18/2024,Costco Wholesale Corp,,Financials,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
1/18/2024,"Micron Technology, Inc.",,Industrials,Retailing,Executive Compensation,Golden Parachutes,Shareholder Ratification of Excessive Termination Pay,Individual,Individual,John Chevedden,0.08
1/18/2024,"Micron Technology, Inc.",MU,Materials,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.80
